Timestamp;wind_speed;wind_direction;air_temperature;global_radiation;controlpump;t_int_pu600;t_ext_pu600;u_rv660;u_rv640;u_rv600;volume.pu600;;;
12.08.2024 21:40;1.10863054;70.00000000;22.99485779;0.00000000;1;33.42483521;34.45003128;0;0;0;4.69999981;;;
12.08.2024 21:50;1.31937695;60.00000000;22.73744774;0.00000000;1;32.74462891;33.74877167;0;0;0;4.63961935;;;
12.08.2024 22:00;1.88801491;40.00000000;22.57744408;0.00000000;1;32.07418060;33.10949707;0;0;0;4.60325003;;;
12.08.2024 22:10;1.44556367;50.00000000;22.35488701;0.00000000;1;31.41685295;32.46363831;0;0;0;4.59999990;;;
12.08.2024 22:20;1.37201476;50.00000000;22.13744164;0.00000000;1;30.80334282;31.85816574;0;0;0;4.55157089;;;
12.08.2024 22:30;1.32053471;50.00000000;21.92615891;0.00000000;1;30.24046326;31.34347916;0;0;0;4.50093317;;;
12.08.2024 22:40;1.26649880;40.00000000;21.69744873;0.00000000;1;29.69273376;30.81405830;0;0;0;4.50000000;;;
12.08.2024 22:50;1.12383068;60.00000000;21.54872131;0.00000000;1;29.16344452;30.20317459;0;0;0;4.48999023;;;
12.08.2024 23:00;0.18908063;70.00000000;21.50871658;0.00000000;1;28.66677475;29.74818420;0;0;0;4.42684078;;;
12.08.2024 23:10;0.66726118;90.00000000;21.38872147;0.00000000;1;28.20760536;29.30028915;0;0;0;4.40000010;;;
12.08.2024 23:20;0.47550330;90.00000000;21.34873390;0.00000000;1;27.77932549;28.89319038;0;0;0;4.40000010;;;
12.08.2024 23:30;0.82076561;60.00000000;21.21745110;0.00000000;1;27.36200714;28.48355484;0;0;0;4.40000010;;;
12.08.2024 23:40;0.48470578;70.00000000;21.06872940;0.00000000;1;26.94502068;28.08696747;0;0;0;4.36761951;;;
12.08.2024 23:50;0.69657803;60.00000000;20.97743034;0.00000000;1;26.55706787;27.71957588;0;0;0;4.31335068;;;
13.08.2024 00:00;0.42973971;100.00000000;20.81868172;0.00000000;1;26.18106270;27.38968468;0;0;0;4.30000019;;;
13.08.2024 00:10;0.51350737;120.00000000;20.66872025;0.00000000;1;25.79895401;26.92697334;0;0;0;4.30000019;;;
13.08.2024 00:20;0.89997047;350.00000000;20.57741737;0.00000000;1;25.44726181;26.53957367;0;0;0;4.30000019;;;
13.08.2024 00:30;0.93602079;50.00000000;20.46872902;0.00000000;1;25.12040520;26.27025032;0;0;0;4.28663683;;;
13.08.2024 00:40;0.42411870;50.00000000;20.38739204;0.00000000;1;24.81334686;25.98000336;0;0;0;4.21760464;;;
13.08.2024 00:50;0.06722928;50.00000000;20.30872536;0.00000000;1;24.52786446;25.61978149;0;0;0;4.20211697;;;
13.08.2024 01:00;0.29800436;50.00000000;20.17743301;0.00000000;1;24.24829483;25.40513611;0;0;0;4.19999981;;;
13.08.2024 01:10;0.03999080;60.00000000;20.02737999;0.00000000;1;23.97460747;25.15709877;0;0;0;4.19999981;;;
13.08.2024 01:20;0.09228539;70.00000000;19.95999336;0.00000000;1;23.72074318;24.80666733;0;0;0;4.19836569;;;
13.08.2024 01:30;0.50635737;80.00000000;19.98737717;0.00000000;1;23.48409653;24.68013191;0;0;0;4.19495153;;;
13.08.2024 01:40;0.61403531;100.00000000;19.90737724;0.00000000;1;23.23358154;24.40999603;0;0;0;4.16011286;;;
13.08.2024 01:50;0.48571709;80.00000000;19.84000015;0.00000000;1;22.99036980;24.16664886;0;0;0;4.11417437;;;
13.08.2024 02:00;0.05676303;50.00000000;19.77476311;0.00000000;1;22.76723099;24.02001190;0;0;0;4.10332918;;;
13.08.2024 02:10;0.05127106;80.00000000;19.61474609;0.00000000;1;22.57084465;23.84385490;0;0;0;4.09999990;;;
13.08.2024 02:20;0.08000000;80.00000000;19.50738335;0.00000000;1;22.38162231;23.61998749;0;0;0;4.09999990;;;
13.08.2024 02:30;0.08000000;90.00000000;19.37477493;0.00000000;1;22.19493294;23.41547012;0;0;0;4.09999990;;;
13.08.2024 02:40;0.08000000;100.00000000;19.22738838;0.00000000;1;22.01451111;23.23000336;0;0;0;4.09999990;;;
13.08.2024 02:50;0.08000000;120.00000000;19.18738174;0.00000000;1;21.84461212;23.20019150;0;0;0;4.09493732;;;
13.08.2024 03:00;0.08000000;160.00000000;19.12000084;0.00000000;1;21.69046021;22.83729553;0;0;0;4.09170151;;;
13.08.2024 03:10;0.08000000;70.00000000;19.06738472;0.00000000;1;21.53135300;22.83000946;0;0;0;4.07504225;;;
13.08.2024 03:20;0.08000000;90.00000000;19.04000092;0.00000000;1;21.37746429;22.62545395;0;0;0;4.03620195;;;
13.08.2024 03:30;0.08000000;160.00000000;18.97515678;0.00000000;1;21.23741722;22.43999481;0;0;0;4.00963736;;;
13.08.2024 03:40;0.08000000;80.00000000;18.86737061;0.00000000;1;21.08627319;22.43999481;0;0;0;4.00665903;;;
13.08.2024 03:50;0.08000000;130.00000000;18.78738785;0.00000000;1;20.93352890;22.13141441;0;0;0;4.00000000;;;
13.08.2024 04:00;0.08000000;80.00000000;18.66738892;0.06666700;1;20.78800964;22.05001068;0;0;0;4.00000000;;;
13.08.2024 04:10;0.08000000;50.00000000;18.62737846;0.13333300;1;20.63861656;21.93368912;0;0;0;4.00000000;;;
13.08.2024 04:20;0.08000000;80.00000000;18.57260513;0.23333300;1;20.48794174;21.64998627;0;0;0;4.00000000;;;
13.08.2024 04:30;0.08000000;60.00000000;18.62738609;0.53333300;1;20.35401726;21.64998627;0;0;0;4.00000000;;;
13.08.2024 04:40;0.08000000;90.00000000;18.55999947;1.03333300;1;20.22234154;21.45215607;0;0;0;4.00000000;;;
13.08.2024 04:50;0.03945171;130.00000000;18.49477768;1.66666700;1;20.09704208;21.26000214;0;0;0;3.99499226;;;
13.08.2024 05:00;0.08000000;150.00000000;18.39999962;2.73333300;1;19.97417831;21.26000214;0;0;0;3.99334359;;;
13.08.2024 05:10;0.02638933;80.00000000;18.33211136;3.93333300;1;19.85149765;21.14676094;0;0;0;3.97088957;;;
13.08.2024 05:20;0.33361265;140.00000000;18.23999977;5.33333300;1;19.72482300;20.86998749;0;0;0;3.95076084;;;
13.08.2024 05:30;0.08000000;180.00000000;18.18604851;6.66666700;1;19.59707451;20.86998749;0;0;0;3.92768049;;;
13.08.2024 05:40;0.06625393;140.00000000;18.15999985;8.06666700;1;19.48449326;20.86345100;0;0;0;3.90824628;;;
13.08.2024 05:50;0.05373833;100.00000000;18.15999985;9.56666700;1;19.36884880;20.49376297;0;0;0;3.90332174;;;
13.08.2024 06:00;0.11987960;80.00000000;18.15999985;11.06666700;1;19.26148987;20.46999359;0;0;0;3.90166426;;;
13.08.2024 06:10;0.08000000;30.00000000;18.14606285;12.73333300;1;19.15940475;20.46999359;0;0;0;3.90000010;;;
13.08.2024 06:20;0.06597753;100.00000000;18.13394737;14.36666700;1;19.06905365;20.46999359;0;0;0;3.90000010;;;
13.08.2024 06:30;0.05502560;110.00000000;18.15999985;15.73333300;1;18.99990273;20.43743324;0;0;0;3.90000010;;;
13.08.2024 06:40;0.03939668;150.00000000;18.22791290;17.13333300;1;18.94999695;20.08365631;0;0;0;3.90000010;;;
13.08.2024 06:50;0.08000000;200.00000000;18.45578194;19.20000000;1;18.94015312;20.13500023;0;0;0;3.90000010;;;
13.08.2024 07:00;0.39078799;170.00000000;18.84370422;21.00000000;1;18.99184227;20.46999359;0;0;0;3.90000010;;;
13.08.2024 07:10;0.16934246;190.00000000;19.25579643;22.83333300;1;19.11021805;20.46999359;0;0;0;3.90332031;;;
13.08.2024 07:20;0.08000000;200.00000000;19.69767189;24.03333300;1;19.28805542;20.55292511;0;0;0;3.91663432;;;
13.08.2024 07:30;0.04168231;210.00000000;20.14970970;25.73333300;1;19.52986908;20.86998749;0;0;0;3.97559810;;;
13.08.2024 07:40;0.08000000;180.00000000;20.75340843;25.26666700;1;19.83892250;21.19785881;0;0;0;3.99833012;;;
13.08.2024 07:50;0.08000000;170.00000000;21.75519371;27.96666700;1;20.22149658;21.56200600;0;0;0;4.00000000;;;
13.08.2024 08:00;0.06491522;190.00000000;22.93473816;30.76666700;1;20.68721581;22.10084534;0;0;0;4.01073360;;;
13.08.2024 08:10;0.05431818;180.00000000;23.93938255;34.20000000;1;21.20864105;22.63134956;0;0;0;4.07001543;;;
13.08.2024 08:20;0.08000000;180.00000000;24.67156792;35.90000000;1;21.81291199;23.22097015;0;0;0;4.09999990;;;
13.08.2024 08:30;0.08000000;200.00000000;25.21783447;36.93333300;1;22.48635483;23.89616394;0;0;0;4.14400578;;;
13.08.2024 08:40;0.08000000;210.00000000;26.05920219;37.93333300;1;23.23117828;24.61450958;0;0;0;4.19999981;;;
